Loan_Info,Applicant_Credit_Info,Delinq_Info,Account_Info,Joint_Account_Info,Collections,Other_Loan_Info
Applicant_ID,Applicant_ID,Applicant_ID,Applicant_ID,Applicant_ID,Applicant_ID,open_rv_12m
Loan_Amt,Credit_Grade,delinq_2yrs,mths_since_last_record,Joint_Annual_Income,collections_12_mths_ex_med,open_rv_24m
Loan_Term,Job_Title,inq_last_6mths,open_acc,Joint_DTI_Ratio,mths_since_last_major_derog,max_bal_bc
Interest_Rate,Employement_Length,mths_since_last_delinq,pub_rec,Joint_Income_Verification,#_Tax_Liens,all_util
Monthly_Payment,Rent_Own,Delinquent_Amount,Revolving_Balance,#_Delinquent_Accounts,Chargeoff_within_Last_Year,total_rev_hi_lim
Loan_Status,Annual_Income,,revol_util,Total_Amount_in_Collection,sec_app_chargeoff_within_12_mths,inq_fi
Loan_Purpose,Income_Verification,,total_acc,Total_Current_Balance_All,sec_app_collections_12_mths_ex_med,total_cu_tl
,State_of_Residence,,Outstanding_Principal,open_acc_6m,sec_app_mths_since_last_major_derog,inq_last_12m
,DTI_Ratio,,total_pymnt,open_il_6m,,acc_open_past_24mths
,Application_Type,,total_rec_prncp,open_il_12m,,bc_open_to_buy
,,,total_rec_int,open_il_24m,,bc_util
,,,total_rec_late_fee,mths_since_rcnt_il,,mo_sin_old_il_acct
,,,last_pymnt_amnt,total_bal_il,,mo_sin_old_rev_tl_op
,,,#_Mortgage_Accounts,il_util,,mo_sin_rcnt_rev_tl_op
,,,Average_Current_Balance,Joint_Revolving_Balance,,mo_sin_rcnt_tl
,,,Balance_Exc_Mortgage,,,mths_since_recent_bc
,,,tot_hi_cred_lim,,,mths_since_recent_bc_dlq
,,,,,,mths_since_recent_inq
,,,,,,mths_since_recent_revol_delinq
,,,,,,num_accts_ever_120_pd
,,,,,,num_actv_bc_tl
,,,,,,num_actv_rev_tl
,,,,,,num_bc_sats
,,,,,,num_bc_tl
,,,,,,num_il_tl
,,,,,,num_op_rev_tl
,,,,,,num_rev_accts
,,,,,,num_rev_tl_bal_gt_0
,,,,,,num_sats
,,,,,,num_tl_120dpd_2m
,,,,,,num_tl_30dpd
,,,,,,num_tl_90g_dpd_24m
,,,,,,num_tl_op_past_12m
,,,,,,pct_tl_nvr_dlq
,,,,,,percent_bc_gt_75
,,,,,,pub_rec_bankruptcies
,,,,,,total_bc_limit
,,,,,,total_il_high_credit_limit
,,,,,,sec_app_earliest_cr_line
,,,,,,sec_app_inq_last_6mths
,,,,,,sec_app_mort_acc
,,,,,,sec_app_open_acc
,,,,,,sec_app_revol_util
,,,,,,sec_app_open_il_6m
,,,,,,sec_app_num_rev_accts